publishers,subtitle,source_records,title,notes.value,number_of_pages,isbn_13,covers,created.value,physical_format,full_title,isbn_10,latest_revision,key,last_modified.value,publish_date,revision,identifiers.librarything,languages.key,first_sentence.value,series,lc_classifications,genres,subjects,publish_country,by_statement,oclc_numbers,publish_places,pagination,dewey_decimal_class,lccn,contributions,edition_name,identifiers.goodreads,weight,physical_dimensions,ocaid,description.value,identifiers.amazon,ia_box_id,id,notes,subject_place,ia_loaded_id,local_id,links.url,links.title,copyright_date,uri_descriptions,uris,url,translated_from.key,contributors.role,contributors.name,translation_of,work_title,other_titles,identifiers.overdrive,oclc_number,subject_time,table_of_contents.level,table_of_contents.label,table_of_contents.pagenum,table_of_contents.title,work_titles,location,description
Prentice Hall,Principles with Applications (6th Edition),ia:physicsprinciple00gian_661,Physics,,1040.0,9780130606204,83737.0,2008-04-30T09:38:13.731961,Hardcover,,0130606200,8.0,OL9287240M,2014-07-29T19:55:18.257373,"August 9, 2004",8,677439,eng,,,,,Algebra,,,,,,,,,6 edition,784869,5.1 pounds,11.1 x 8.7 x 1.1 inches,physicsprinciple00gian_661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Principles with Applications (6th Edition),ia:physicsprinciple00gian_661,Physics,,1040.0,9780130606204,83737.0,2008-04-30T09:38:13.731961,Hardcover,,0130606200,8.0,OL9287240M,2014-07-29T19:55:18.257373,"August 9, 2004",8,677439,eng,,,,,Science/Mathematics,,,,,,,,,6 edition,784869,5.1 pounds,11.1 x 8.7 x 1.1 inches,physicsprinciple00gian_661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Principles with Applications (6th Edition),ia:physicsprinciple00gian_661,Physics,,1040.0,9780130606204,83737.0,2008-04-30T09:38:13.731961,Hardcover,,0130606200,8.0,OL9287240M,2014-07-29T19:55:18.257373,"August 9, 2004",8,677439,eng,,,,,Science,,,,,,,,,6 edition,784869,5.1 pounds,11.1 x 8.7 x 1.1 inches,physicsprinciple00gian_661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Principles with Applications (6th Edition),ia:physicsprinciple00gian_661,Physics,,1040.0,9780130606204,83737.0,2008-04-30T09:38:13.731961,Hardcover,,0130606200,8.0,OL9287240M,2014-07-29T19:55:18.257373,"August 9, 2004",8,677439,eng,,,,,Textbooks,,,,,,,,,6 edition,784869,5.1 pounds,11.1 x 8.7 x 1.1 inches,physicsprinciple00gian_661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Principles with Applications (6th Edition),ia:physicsprinciple00gian_661,Physics,,1040.0,9780130606204,83737.0,2008-04-30T09:38:13.731961,Hardcover,,0130606200,8.0,OL9287240M,2014-07-29T19:55:18.257373,"August 9, 2004",8,677439,eng,,,,,Applied Sciences,,,,,,,,,6 edition,784869,5.1 pounds,11.1 x 8.7 x 1.1 inches,physicsprinciple00gian_661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Principles with Applications (6th Edition),ia:physicsprinciple00gian_661,Physics,,1040.0,9780130606204,83737.0,2008-04-30T09:38:13.731961,Hardcover,,0130606200,8.0,OL9287240M,2014-07-29T19:55:18.257373,"August 9, 2004",8,677439,eng,,,,,PHYSICS,,,,,,,,,6 edition,784869,5.1 pounds,11.1 x 8.7 x 1.1 inches,physicsprinciple00gian_661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall,Principles with Applications (6th Edition),ia:physicsprinciple00gian_661,Physics,,1040.0,9780130606204,83737.0,2008-04-30T09:38:13.731961,Hardcover,,0130606200,8.0,OL9287240M,2014-07-29T19:55:18.257373,"August 9, 2004",8,677439,eng,,,,,Science / Physics,,,,,,,,,6 edition,784869,5.1 pounds,11.1 x 8.7 x 1.1 inches,physicsprinciple00gian_661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springer,,,Handbuch Der Physik/Encyclopedia of Physics,,,9780387020396,,,Hardcover,,038702039X,2.0,OL10151458M,2009-12-15T00:43:36.803348,June 1956,2,,eng,,,,,Physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springer,,,Handbuch Der Physik/Encyclopedia of Physics,,,9780387020396,,,Hardcover,,038702039X,2.0,OL10151458M,2009-12-15T00:43:36.803348,June 1956,2,,eng,,,,,Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springer,,,Handbuch Der Physik/Encyclopedia of Physics,,,9780387020396,,,Hardcover,,038702039X,2.0,OL10151458M,2009-12-15T00:43:36.803348,June 1956,2,,eng,,,,,Science/Mathematics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addison-Wesley Pub. Co.,a high school physics program,,Conceptual physics,Includes index.,660.0,,,2008-08-29T14:19:45.973848,,,020120729X,3.0,OL13592609M,2010-08-18T01:13:40.185482,1987,3,563967,eng,,,,,Physics -- Study and teaching (Secondary),cau,written and illustrated by Paul G. Hewitt.,,"Menlo Park, Calif","T47, xi, 660 p. :",,,,Teacher's ed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. H. Freeman,4e Vol 2 & Student Questionnaire,,Physics for Scientists and Engineers,,,9780716789925,,2008-04-30T09:38:13.731961,Paperback,,0716789922,3.0,OL10525931M,2018-10-03T20:10:45.583759,"December 20, 2003",3,,eng,,,,,Science / Physics,,,,,,,,,4th Pkg edition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. H. Freeman,4e Vol 2 & Student Questionnaire,,Physics for Scientists and Engineers,,,9780716789925,,2008-04-30T09:38:13.731961,Paperback,,0716789922,3.0,OL10525931M,2018-10-03T20:10:45.583759,"December 20, 2003",3,,eng,,,,,Physics,,,,,,,,,4th Pkg edition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. H. Freeman,4e Vol 2 & Student Questionnaire,,Physics for Scientists and Engineers,,,9780716789925,,2008-04-30T09:38:13.731961,Paperback,,0716789922,3.0,OL10525931M,2018-10-03T20:10:45.583759,"December 20, 2003",3,,eng,,,,,Science,,,,,,,,,4th Pkg edition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. H. Freeman,4e Vol 2 & Student Questionnaire,,Physics for Scientists and Engineers,,,9780716789925,,2008-04-30T09:38:13.731961,Paperback,,0716789922,3.0,OL10525931M,2018-10-03T20:10:45.583759,"December 20, 2003",3,,eng,,,,,Science/Mathematics,,,,,,,,,4th Pkg edition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palgrave Macmillan,Critical Engagements with Culture,amazon:3319846361,Python beyond Python,Source title: Python beyond Python: Critical Engagements with Culture (Palgrave Studies in Comedy),256.0,9783319846361,10277957.0,2020-07-14T09:11:38.772068,paperback,Python beyond Python : Critical Engagements with Culture,3319846361,1.0,OL28328667M,2020-07-14T09:11:38.772068,"May 13, 2018",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palgrave Macmillan,Critical Engagements with Culture,amazon:3319846361,Python beyond Python,Source title: Python beyond Python: Critical Engagements with Culture (Palgrave Studies in Comedy),256.0,9783319846361,10277957.0,2020-07-14T09:11:38.772068,paperback,Python beyond Python : Critical Engagements with Culture,3319846361,1.0,OL28328667M,2020-07-14T09:11:38.772068,"May 13, 2018",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palgrave Macmillan,Critical Engagements with Culture,amazon:3319846361,Python beyond Python,Source title: Python beyond Python: Critical Engagements with Culture (Palgrave Studies in Comedy),256.0,9783319846361,10277957.0,2020-07-14T09:11:38.772068,paperback,Python beyond Python : Critical Engagements with Culture,3319846361,1.0,OL28328667M,2020-07-14T09:11:38.772068,"May 13, 2018",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Pr,Advances in Research and Applications,,Solid State Physics,,525.0,9780126077070,5031690.0,,Hardcover,,012607707X,3.0,OL10072800M,2010-04-13T02:52:51.925831,June 1958,3,,eng,Proteins are the elementary building units of all living creatures and essential components for information and energy processing within the living systems.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomson-Brooks/Cole,,marc:marc_records_scriblio_net/part14.dat:43394486:723,College physics.,Includes indexes.,966.0,,1063966.0,2008-04-01T03:28:50.625462,,,0030351146,5.0,OL3575103M,2010-08-02T21:46:33.311089,2003,5,248797,eng,,,QC21.3 .S46 2003,,Physics,cau,,,"Pacific Grove, CA","xxix, 966, 43, 14 p. :",530,2002113279,"Faughn, Jerry S.","6th ed. / Raymond A. Serway, Jerry S. Faughn ; contributing author, Clement J. Moses.",2200536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomson-Brooks/Cole,,marc:marc_records_scriblio_net/part14.dat:43394486:723,College physics.,Includes indexes.,966.0,,1063966.0,2008-04-01T03:28:50.625462,,,0030351146,5.0,OL3575103M,2010-08-02T21:46:33.311089,2003,5,248797,eng,,,QC21.3 .S46 2003,,Physics,cau,,,"Pacific Grove, CA","xxix, 966, 43, 14 p. :",530,2002113279,"Moses, Clement J.","6th ed. / Raymond A. Serway, Jerry S. Faughn ; contributing author, Clement J. Moses.",2200536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiley,,,Physical chemistry,Includes bibliographical references and index.,950.0,,1241779.0,2008-04-01T03:28:50.625462,,,0471104280,6.0,OL968342M,2010-07-30T23:17:58.696917,1997,6,2052337,eng,,,QD453.2 .A45 1997,,"Chemistry, Physical and theoretical.",nyu,"Robert A. Alberty, Robert J. Silbey.",,New York,"x, 950 p. :",541.3,96004841,"Silbey, Robert J.",2nd ed.,4555094,,,,,,,,,,,,,,,Table of Contents,http://www.loc.gov/catdir/toc/onix03/96004841.html,http://www.loc.gov/catdir/toc/onix03/96004841.html,,,,,,,,,,,,,,,,
HarperPerennial,an illustrated history,,American guitars,Includes index.,370.0,,,2009-02-12T12:28:43.495136,,,006092019X,2.0,OL22930875M,2009-12-08T02:10:41.139643,1990,2,,eng,,,ML1015.G9 W5 1990,,Guitar -- History.,nyu,Tom Wheeler ; foreword by Les Paul.,,"New York, NY","370 p., [16] p. of plates :",787.87/1973,90044223,,"Updated ed., 1st HarperPerennial ed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HarperPerennial,an illustrated history,,American guitars,Includes index.,370.0,,,2009-02-12T12:28:43.495136,,,006092019X,2.0,OL22930875M,2009-12-08T02:10:41.139643,1990,2,,eng,,,ML1015.G9 W5 1990,,Guitar -- United States -- History.,nyu,Tom Wheeler ; foreword by Les Paul.,,"New York, NY","370 p., [16] p. of plates :",787.87/1973,90044223,,"Updated ed., 1st HarperPerennial ed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiley,,,Fundamentals of physics,Includes bibliographical references and indexes.,1149.0,,,2008-04-01T03:28:50.625462,,,0471619167,4.0,OL2040774M,2010-07-31T07:33:07.501770,1988,4,36873,eng,,,QC21.2 .H35 1988c,,Physics.,nyu,"David Halliday, Robert Resnick ; with the assistance of John Merrill.",,New York,"2 v. (xx, 1149, 28, [31] p.) :",530,88017380,"Resnick, Robert, 1923-",3rd ed. extended.,2933147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiley,,,Fundamentals of physics,Includes bibliographical references and indexes.,1149.0,,,2008-04-01T03:28:50.625462,,,0471619175,4.0,OL2040774M,2010-07-31T07:33:07.501770,1988,4,36873,eng,,,QC21.2 .H35 1988c,,Physics.,nyu,"David Halliday, Robert Resnick ; with the assistance of John Merrill.",,New York,"2 v. (xx, 1149, 28, [31] p.) :",530,88017380,"Resnick, Robert, 1923-",3rd ed. extended.,2933147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiley,,,Fundamentals of physics,Includes bibliographical references and indexes.,1149.0,,,2008-04-01T03:28:50.625462,,,0471619167,4.0,OL2040774M,2010-07-31T07:33:07.501770,1988,4,36873,eng,,,QC21.2 .H35 1988c,,Physics.,nyu,"David Halliday, Robert Resnick ; with the assistance of John Merrill.",,New York,"2 v. (xx, 1149, 28, [31] p.) :",530,88017380,"Resnick, Robert, 1923-",3rd ed. extended.,6367012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiley,,,Fundamentals of physics,Includes bibliographical references and indexes.,1149.0,,,2008-04-01T03:28:50.625462,,,0471619175,4.0,OL2040774M,2010-07-31T07:33:07.501770,1988,4,36873,eng,,,QC21.2 .H35 1988c,,Physics.,nyu,"David Halliday, Robert Resnick ; with the assistance of John Merrill.",,New York,"2 v. (xx, 1149, 28, [31] p.) :",530,88017380,"Resnick, Robert, 1923-",3rd ed. extended.,6367012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiley,,,Fundamentals of physics,Includes bibliographical references and indexes.,1149.0,,,2008-04-01T03:28:50.625462,,,0471619167,4.0,OL2040774M,2010-07-31T07:33:07.501770,1988,4,36873,eng,,,QC21.2 .H35 1988c,,Physics.,nyu,"David Halliday, Robert Resnick ; with the assistance of John Merrill.",,New York,"2 v. (xx, 1149, 28, [31] p.) :",530,88017380,"Merrill, John J.",3rd ed. extended.,2933147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiley,,,Fundamentals of physics,Includes bibliographical references and indexes.,1149.0,,,2008-04-01T03:28:50.625462,,,0471619175,4.0,OL2040774M,2010-07-31T07:33:07.501770,1988,4,36873,eng,,,QC21.2 .H35 1988c,,Physics.,nyu,"David Halliday, Robert Resnick ; with the assistance of John Merrill.",,New York,"2 v. (xx, 1149, 28, [31] p.) :",530,88017380,"Merrill, John J.",3rd ed. extended.,2933147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiley,,,Fundamentals of physics,Includes bibliographical references and indexes.,1149.0,,,2008-04-01T03:28:50.625462,,,0471619167,4.0,OL2040774M,2010-07-31T07:33:07.501770,1988,4,36873,eng,,,QC21.2 .H35 1988c,,Physics.,nyu,"David Halliday, Robert Resnick ; with the assistance of John Merrill.",,New York,"2 v. (xx, 1149, 28, [31] p.) :",530,88017380,"Merrill, John J.",3rd ed. extended.,6367012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiley,,,Fundamentals of physics,Includes bibliographical references and indexes.,1149.0,,,2008-04-01T03:28:50.625462,,,0471619175,4.0,OL2040774M,2010-07-31T07:33:07.501770,1988,4,36873,eng,,,QC21.2 .H35 1988c,,Physics.,nyu,"David Halliday, Robert Resnick ; with the assistance of John Merrill.",,New York,"2 v. (xx, 1149, 28, [31] p.) :",530,88017380,"Merrill, John J.",3rd ed. extended.,6367012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice-Hall,a landscape appreciation,,Physical geography,Includes bibliographies and index.,610.0,,,2008-04-01T03:28:50.625462,,,0136693342,4.0,OL2209188M,2010-07-31T08:46:04.431857,1990,4,4505416,eng,,,GB54.5 .M39 1990,,Physical geography.,nju,Tom L. McKnight ; with cartographic collaboration of Patricia Caldwell Lindgren.,,"Englewood Cliffs, N.J","xii, 610 p. :",551,89031582,"Lindgren, Patricia Caldwell.",3rd ed.,3623719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin/Cummings Pub. Co.,,ia:physicsbeis00beis,Physics,Includes index.,908.0,,8055378.0,2008-04-01T03:28:50.625462,,,0805303847,6.0,OL2541616M,2017-08-27T15:57:23.835497,1986,6,,eng,,,QC23 .B4144 1986,,Physics.,cau,Arthur Beiser.,,"Menlo Park, Calif","xviii, 908 p. :",530,85022938,,4th ed.,2654542,,,physicsbeis00beis,,,IA141107,,,,physicsbeis00beis,,,,,,,,,,,,,,,,,,,,,,,
Benjamin/Cummings Pub. Co.,,ia:physicsbeis00beis,Physics,Includes index.,908.0,,6965997.0,2008-04-01T03:28:50.625462,,,0805303847,6.0,OL2541616M,2017-08-27T15:57:23.835497,1986,6,,eng,,,QC23 .B4144 1986,,Physics.,cau,Arthur Beiser.,,"Menlo Park, Calif","xviii, 908 p. :",530,85022938,,4th ed.,2654542,,,physicsbeis00beis,,,IA141107,,,,physicsbeis00beis,,,,,,,,,,,,,,,,,,,,,,,
Mercury Learning & Information,Pocket Primer,amazon:1938549856,Python,Source title: Python: Pocket Primer (Computing),200.0,9781938549854,8998101.0,2019-10-23T18:13:42.778780,paperback,Python Pocket Primer,1938549856,2.0,OL27542374M,2020-08-03T18:32:00.597010,"Jun 01, 2014",2,,,,,,,,,,,,,,,,,,,,,,1938549856,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercury Learning & Information,Pocket Primer,bwb:9781938549854,Python,Source title: Python: Pocket Primer (Computing),200.0,9781938549854,8998101.0,2019-10-23T18:13:42.778780,paperback,Python Pocket Primer,1938549856,2.0,OL27542374M,2020-08-03T18:32:00.597010,"Jun 01, 2014",2,,,,,,,,,,,,,,,,,,,,,,1938549856,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davison Publishing,Book 2,,Advanced Guitar,,61.0,9781929911059,3052635.0,,Spiral-bound,,192991105X,3.0,OL12300693M,2010-04-13T09:07:09.284889,"December 15, 1999",3,,,,,,,Music / Instruction & Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davison Publishing,Book 2,,Advanced Guitar,,61.0,9781929911059,3052635.0,,Spiral-bound,,192991105X,3.0,OL12300693M,2010-04-13T09:07:09.284889,"December 15, 1999",3,,,,,,,Music / Musical Instruments / Guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davison Publishing,Book 2,,Advanced Guitar,,61.0,9781929911059,3052635.0,,Spiral-bound,,192991105X,3.0,OL12300693M,2010-04-13T09:07:09.284889,"December 15, 1999",3,,,,,,,Guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davison Publishing,Book 2,,Advanced Guitar,,61.0,9781929911059,3052635.0,,Spiral-bound,,192991105X,3.0,OL12300693M,2010-04-13T09:07:09.284889,"December 15, 1999",3,,,,,,,Instruction & Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davison Publishing,Book 2,,Advanced Guitar,,61.0,9781929911059,3052635.0,,Spiral-bound,,192991105X,3.0,OL12300693M,2010-04-13T09:07:09.284889,"December 15, 1999",3,,,,,,,Instruction and study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davison Publishing,Book 2,,Advanced Guitar,,61.0,9781929911059,3052635.0,,Spiral-bound,,192991105X,3.0,OL12300693M,2010-04-13T09:07:09.284889,"December 15, 1999",3,,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davison Publishing,Book 2,,Advanced Guitar,,61.0,9781929911059,3052635.0,,Spiral-bound,,192991105X,3.0,OL12300693M,2010-04-13T09:07:09.284889,"December 15, 1999",3,,,,,,,Musical Instruments - Guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall College Div,A Landscape Appreciation,,Physical Geography,,624.0,9780136671305,,2008-04-29T13:35:46.876380,,,0136671306,5.0,OL7343505M,2010-08-05T19:45:17.996981,October 1992,5,827015,eng,,,,,,,,,,,,,,,4482420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Wiley & Sons Inc,,,Introductory Physics,,904.0,9780471759195,,,Hardcover,,0471759198,4.0,OL10335646M,2010-04-24T18:01:20.932163,"August 18, 2005",4,,,,,,,PHYSICS,,,,,,,,,,1284206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Wiley & Sons Inc,,,Physical Geography,,160.0,9780471997993,,,Hardcover,,0471997994,2.0,OL9657832M,2009-12-15T00:35:47.345288,"March 16, 2006",2,,eng,,,,,Physical geography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Music Publications,,,Rock and Pop Guitar,,48.0,9780863593031,,,Paperback,,0863593038,2.0,OL11046953M,2009-12-15T00:58:15.629664,December 1989,2,,,,,,,"Musical scores, lyrics & libretti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Music Publications,,,Rock and Pop Guitar,,48.0,9780863593031,,,Paperback,,0863593038,2.0,OL11046953M,2009-12-15T00:58:15.629664,December 1989,2,,,,,,,Rock & pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Music Publications,,,Rock and Pop Guitar,,48.0,9780863593031,,,Paperback,,0863593038,2.0,OL11046953M,2009-12-15T00:58:15.629664,December 1989,2,,,,,,,String instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall College Div,A Landscape Appreciation,,Physical Geography,,604.0,9780139504457,92755.0,2008-04-30T09:38:13.731961,Hardcover,,0139504451,6.0,OL9300064M,2010-08-12T03:56:55.390876,"May 21, 1998",6,827015,eng,,,,,Physical geography,,,,,,,,,6 edition,4482624,3.5 pounds,11.2 x 8.5 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall College Div,A Landscape Appreciation,,Physical Geography,,604.0,9780139504457,92755.0,2008-04-30T09:38:13.731961,Hardcover,,0139504451,6.0,OL9300064M,2010-08-12T03:56:55.390876,"May 21, 1998",6,827015,eng,,,,,Geography (General),,,,,,,,,6 edition,4482624,3.5 pounds,11.2 x 8.5 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall College Div,A Landscape Appreciation,,Physical Geography,,604.0,9780139504457,92755.0,2008-04-30T09:38:13.731961,Hardcover,,0139504451,6.0,OL9300064M,2010-08-12T03:56:55.390876,"May 21, 1998",6,827015,eng,,,,,Science,,,,,,,,,6 edition,4482624,3.5 pounds,11.2 x 8.5 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall College Div,A Landscape Appreciation,,Physical Geography,,604.0,9780139504457,92755.0,2008-04-30T09:38:13.731961,Hardcover,,0139504451,6.0,OL9300064M,2010-08-12T03:56:55.390876,"May 21, 1998",6,827015,eng,,,,,Science/Mathematics,,,,,,,,,6 edition,4482624,3.5 pounds,11.2 x 8.5 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall College Div,A Landscape Appreciation,,Physical Geography,,604.0,9780139504457,92755.0,2008-04-30T09:38:13.731961,Hardcover,,0139504451,6.0,OL9300064M,2010-08-12T03:56:55.390876,"May 21, 1998",6,827015,eng,,,,,Geography,,,,,,,,,6 edition,4482624,3.5 pounds,11.2 x 8.5 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prentice Hall College Div,A Landscape Appreciation,,Physical Geography,,604.0,9780139504457,92755.0,2008-04-30T09:38:13.731961,Hardcover,,0139504451,6.0,OL9300064M,2010-08-12T03:56:55.390876,"May 21, 1998",6,827015,eng,,,,,Earth Sciences - Geography,,,,,,,,,6 edition,4482624,3.5 pounds,11.2 x 8.5 x 1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.H. Freeman,,marc:marc_records_scriblio_net/part17.dat:200587046:643,Physical chemistry,Includes bibliographies and indexes.,857.0,,9244345.0,2008-04-01T03:28:50.625462,,,0716717492,8.0,OL3026635M,2019-12-30T04:21:31.872842,1986,8,136446,eng,,,QD453.2 .A88 1986,,"Chemistry, Physical and theoretical",nyu,P.W. Atkins ; with introductory problems by J.C. Morrow.,,New York,"xxiv, 857 p. :",541.3,85007048,,3rd ed.,1546036,,,physicalchemistr00pwat,,,IA146804,,,,physicalchemistr00pwat,,,,,,,,,,,,,,,,,,,,,,,
W.H. Freeman,,marc:marc_upei/marc-for-openlibrary-bigset.mrc:66534768:823,Physical chemistry,Includes bibliographies and indexes.,857.0,,9244345.0,2008-04-01T03:28:50.625462,,,0716717492,8.0,OL3026635M,2019-12-30T04:21:31.872842,1986,8,136446,eng,,,QD453.2 .A88 1986,,"Chemistry, Physical and theoretical",nyu,P.W. Atkins ; with introductory problems by J.C. Morrow.,,New York,"xxiv, 857 p. :",541.3,85007048,,3rd ed.,1546036,,,physicalchemistr00pwat,,,IA146804,,,,physicalchemistr00pwat,,,,,,,,,,,,,,,,,,,,,,,
W.H. Freeman,,ia:physicalchemistr00pwat,Physical chemistry,Includes bibliographies and indexes.,857.0,,9244345.0,2008-04-01T03:28:50.625462,,,0716717492,8.0,OL3026635M,2019-12-30T04:21:31.872842,1986,8,136446,eng,,,QD453.2 .A88 1986,,"Chemistry, Physical and theoretical",nyu,P.W. Atkins ; with introductory problems by J.C. Morrow.,,New York,"xxiv, 857 p. :",541.3,85007048,,3rd ed.,1546036,,,physicalchemistr00pwat,,,IA146804,,,,physicalchemistr00pwat,,,,,,,,,,,,,,,,,,,,,,,
D.C. Heath & co.,Advanced topics supplement,marc:marc_university_of_toronto/uoft.marc:1896079780:769,Physics,,218.0,,,2008-10-16T16:31:41.957191,,,0669189294,3.0,OL18430342M,2018-06-18T20:54:50.289065,1972,3,,eng,,,,,Physics -- Study and teaching (Secondary),mdu,Uri Haber-Schaim...[et al.].,,"Lexington, Massachusetts",218 p.,,,"Haber-Schaim, Uri, 1926-",3rd ed. --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.C. Heath & co.,Advanced topics supplement,marc:marc_university_of_toronto/uoft.marc:1896079780:769,Physics,,218.0,,,2008-10-16T16:31:41.957191,,,0669189294,3.0,OL18430342M,2018-06-18T20:54:50.289065,1972,3,,eng,,,,,Physics,mdu,Uri Haber-Schaim...[et al.].,,"Lexington, Massachusetts",218 p.,,,"Haber-Schaim, Uri, 1926-",3rd ed. --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wm. C. Brown,with interactive plate tectonics CD-ROM,,Physical geology,"Includes bibliographical references and index.
System requirements for accompanying computer disc: Macintosh; Windows.",539.0,,7053690.0,2008-04-01T03:28:50.625462,,,0697266753,7.0,OL822868M,2012-02-14T20:13:30.425740,1996,7,2895995,eng,,,QE28.2 .P58 1996,,Physical geology.,iau,"Charles C. Plummer, David McGeary.",,"Dubuque, IA","xix, 539 p. :",,95077803,"McGeary, David.",7th ed.,2382772,,,physicalgeologyw00plum,,,IA102211,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wm. C. Brown,with interactive plate tectonics CD-ROM,,Physical geology,"Includes bibliographical references and index.
System requirements for accompanying computer disc: Macintosh; Windows.",539.0,,7053690.0,2008-04-01T03:28:50.625462,,,0697266761,7.0,OL822868M,2012-02-14T20:13:30.425740,1996,7,2895995,eng,,,QE28.2 .P58 1996,,Physical geology.,iau,"Charles C. Plummer, David McGeary.",,"Dubuque, IA","xix, 539 p. :",,95077803,"McGeary, David.",7th ed.,2382772,,,physicalgeologyw00plum,,,IA102211,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABDO Pub. Co.,,marc:marc_loc_updates/v39.i10.records.utf8:6713673:658,Pythons,Includes index.,24.0,9781616134372,,2011-07-23T01:18:28.614237,,Pythons,,1.0,OL24815792M,2011-07-23T01:18:28.614237,2011,1,,eng,,Checkerboard animal library,QL666.O67 G86 2011,,Juvenile literature,mnu,Megan M. Gunderson,,"Edina, Minn",24 p. :,597.96/78,2010013421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
